x,l
http://vocab.getty.edu/aat/300047449,gisants
http://vocab.getty.edu/aat/300184579,agrafes (sculpture)
http://vocab.getty.edu/aat/300047261,cameos (sculptures)
http://vocab.getty.edu/aat/300047194,assemblages (sculpture)
http://vocab.getty.edu/aat/300310956,magatama
http://vocab.getty.edu/aat/300185153,ready-mades (found objects)
http://vocab.getty.edu/aat/300184633,bas-reliefs (sculpture)
http://vocab.getty.edu/aat/300184577,acroliths
http://vocab.getty.edu/aat/300435261,alebrijes
http://vocab.getty.edu/aat/300252108,transis
http://vocab.getty.edu/aat/300265574,Astbury-Whieldon figures
http://vocab.getty.edu/aat/300262657,bocio
http://vocab.getty.edu/aat/300264810,agiba (statues)
http://vocab.getty.edu/aat/300379809,architectural models
http://vocab.getty.edu/aat/300443861,bavelaars
http://vocab.getty.edu/aat/300265655,eco-installations
http://vocab.getty.edu/aat/300395504,beggar's medals
http://vocab.getty.edu/aat/300429681,offering trays
http://vocab.getty.edu/aat/300444091,chalice spoons
http://vocab.getty.edu/aat/300265575,azzimina
http://vocab.getty.edu/aat/300044041,fitched work
http://vocab.getty.edu/aat/300404200,amantecayotl (featherwork)
http://vocab.getty.edu/aat/300068579,cut-paper work
http://vocab.getty.edu/aat/300438834,knots
http://vocab.getty.edu/aat/300391092,altar bells
http://vocab.getty.edu/aat/300041943,axatses
http://vocab.getty.edu/aat/300264646,carborundum prints
http://vocab.getty.edu/aat/300041341,copper engravings (visual works)
http://vocab.getty.edu/aat/300264657,carborundum mezzotints (prints)
http://vocab.getty.edu/aat/300041366,aquatints (prints)
http://vocab.getty.edu/aat/300041368,sandpaper aquatints
http://vocab.getty.edu/aat/300264644,algraphs
http://vocab.getty.edu/aat/300041384,chromolithographs
http://vocab.getty.edu/aat/300041386,oleographs
http://vocab.getty.edu/aat/300041392,cardboard relief prints
http://vocab.getty.edu/aat/300041342,dotted prints
http://vocab.getty.edu/aat/300178547,color wood engravings
http://vocab.getty.edu/aat/300041502,beni-e
http://vocab.getty.edu/aat/300041515,benizuri-e
http://vocab.getty.edu/aat/300265182,chromotypogravures
http://vocab.getty.edu/aat/300263218,Baxter prints
http://vocab.getty.edu/aat/300040420,cross banding
http://vocab.getty.edu/aat/300178549,impressions (prints)
http://vocab.getty.edu/aat/300400791,chine appliqué prints
http://vocab.getty.edu/aat/300404230,commemorative prints
http://vocab.getty.edu/aat/300161638,black-and-white prints (prints on paper)
http://vocab.getty.edu/aat/300041519,crayon manner prints
http://vocab.getty.edu/aat/300391082,Advent candleholders
http://vocab.getty.edu/aat/300391083,altar candlesticks
http://vocab.getty.edu/aat/300033638,<paintings by form>
http://vocab.getty.edu/aat/300411453,ceiling paintings
http://vocab.getty.edu/aat/300033639,cabinet pictures (paintings)
http://vocab.getty.edu/aat/300386452,shohekiga
http://vocab.getty.edu/aat/300386567,biccherne
http://vocab.getty.edu/aat/300178463,handscrolls
http://vocab.getty.edu/aat/300387206,black-figure vase paintings (visual works)
http://vocab.getty.edu/aat/300181918,acrylic paintings (visual works)
http://vocab.getty.edu/aat/300033690,oil sketches
http://vocab.getty.edu/aat/300446718,arcā
http://vocab.getty.edu/aat/300395527,appliqué prints (collages)
http://vocab.getty.edu/aat/300134699,photomontages (visual works)
http://vocab.getty.edu/aat/300034362,<drawings by function>
http://vocab.getty.edu/aat/300075465,composite views
http://vocab.getty.edu/aat/300033988,elevation obliques
http://vocab.getty.edu/aat/300033998,cabinet oblique drawings
http://vocab.getty.edu/aat/300034364,auxiliary views
http://vocab.getty.edu/aat/300034039,"dimetric projections (axonometric projections, images)"
http://vocab.getty.edu/aat/300100175,exterior elevations
http://vocab.getty.edu/aat/300034094,half elevations
http://vocab.getty.edu/aat/300034121,area plans (orthographic projections)
