x,l
http://vocab.getty.edu/aat/300263211,cat rigs
http://vocab.getty.edu/aat/300375281,belt buckles
http://vocab.getty.edu/aat/300235838,disk drives
http://vocab.getty.edu/aat/300186091,floor coverings
http://vocab.getty.edu/aat/300185986,pillar rugs
http://vocab.getty.edu/aat/300187403,khadens
http://vocab.getty.edu/aat/300186029,engsis
http://vocab.getty.edu/aat/300187434,cloudband Kazaks
http://vocab.getty.edu/aat/300198379,banjis
http://vocab.getty.edu/aat/300186430,Ardabil carpets
http://vocab.getty.edu/aat/300186184,cemetery carpets
http://vocab.getty.edu/aat/300186728,Alcaraz carpets
http://vocab.getty.edu/aat/300234719,blankets (printing press components)
http://vocab.getty.edu/aat/300186739,Admiral carpets
http://vocab.getty.edu/aat/300001658,Asiatic bases
http://vocab.getty.edu/aat/300229940,applied decoration
http://vocab.getty.edu/aat/300040600,ball feet
http://vocab.getty.edu/aat/300024928,helves
http://vocab.getty.edu/aat/300077937,bar handles
http://vocab.getty.edu/aat/300033544,cabinet knobs
http://vocab.getty.edu/aat/300171585,mounts (attachments)
http://vocab.getty.edu/aat/300186893,dozars
http://vocab.getty.edu/aat/300186178,bird Ushaks
http://vocab.getty.edu/aat/300237700,city rugs
http://vocab.getty.edu/aat/300232154,gimp (braided trimming)
http://vocab.getty.edu/aat/300226134,scoreboards
http://vocab.getty.edu/aat/300219638,aggetti
http://vocab.getty.edu/aat/300210502,hems (components)
http://vocab.getty.edu/aat/300036979,arrow components
http://vocab.getty.edu/aat/300227955,cut-and-uncut pile
http://vocab.getty.edu/aat/300228360,accordion pleats
http://vocab.getty.edu/aat/300227775,binding warp
http://vocab.getty.edu/aat/300227780,brocading weft
http://vocab.getty.edu/aat/300225147,dog catches
http://vocab.getty.edu/aat/300224809,besagews
http://vocab.getty.edu/aat/300224850,gardbraces
http://vocab.getty.edu/aat/300224888,Italian miquelets
http://vocab.getty.edu/aat/300224972,bolt actions
http://vocab.getty.edu/aat/300203978,barrels (firearm components)
http://vocab.getty.edu/aat/300225001,bores
http://vocab.getty.edu/aat/300225006,bolts (breechblocks)
http://vocab.getty.edu/aat/300224971,breech mechanisms
http://vocab.getty.edu/aat/300225003,breechblocks
http://vocab.getty.edu/aat/300225139,dog locks
http://vocab.getty.edu/aat/300225799,exposure meters
http://vocab.getty.edu/aat/300198625,hour hands
http://vocab.getty.edu/aat/300386864,barrier layers
http://vocab.getty.edu/aat/300190057,insets
http://vocab.getty.edu/aat/300224242,deckle edges
http://vocab.getty.edu/aat/300411770,court trains
http://vocab.getty.edu/aat/300212480,actions (sound device components)
http://vocab.getty.edu/aat/300224295,hammers (piano components)
http://vocab.getty.edu/aat/300224293,<keyboard actions and action components>
http://vocab.getty.edu/aat/300188975,figures (illustrations)
http://vocab.getty.edu/aat/300229617,namakdan
http://vocab.getty.edu/aat/300187567,cuvals
http://vocab.getty.edu/aat/300204003,block mountings
http://vocab.getty.edu/aat/300222456,enarmes
http://vocab.getty.edu/aat/300211030,humanist (typeface group)
http://vocab.getty.edu/aat/300390999,ship fenders
http://vocab.getty.edu/aat/300036853,bellows visors
http://vocab.getty.edu/aat/300037189,locks (firearm components)
http://vocab.getty.edu/aat/300225146,cocks (firearm components)
http://vocab.getty.edu/aat/300213706,chanters
http://vocab.getty.edu/aat/300213707,drone pipes
http://vocab.getty.edu/aat/300186013,bokches
http://vocab.getty.edu/aat/300204864,altar cloths
http://vocab.getty.edu/aat/300204907,upholstery foundations
http://vocab.getty.edu/aat/300215241,base cloths
http://vocab.getty.edu/aat/300182806,aircraft aeronautical lights
http://vocab.getty.edu/aat/300263203,centerboards
